id,x_coord,y_coord,type
0.0,0.0,0.0,0.0
1.0,13.7227999023069,10.766509256362644,-1.0
2.0,13.151205280868913,6.635725869605989,-1.0
3.0,13.101516514063853,-4.427059330750778,-1.0
4.0,-9.973019954476333,-1.0061619872226704,-1.0
5.0,-11.874922824508404,0.9500391079535002,-1.0
6.0,-0.5880181773852365,-8.683096016754407,-1.0
7.0,14.681316653904087,-4.572628206813899,-1.0
8.0,5.517849607807286,11.492113585806884,-1.0
9.0,-12.79365670253925,-7.964902846501648,-1.0
10.0,-11.916248536181914,-6.306561777260674,-1.0
11.0,-5.694936546010898,-6.836650553167186,-1.0
12.0,-11.094312250440234,-6.294216288373175,-1.0
13.0,12.841165782657754,3.2375693697930314,-1.0
14.0,-14.200931238793892,4.30074607789068,-1.0
15.0,-10.305219913669873,-4.4002664482497185,-1.0
16.0,-0.09349533801515941,14.63867066259535,-1.0
17.0,2.8328051301308053,-9.83532841201294,-1.0
18.0,14.706726453178902,-11.310197121462314,-1.0
19.0,9.580361488674207,-3.775976567593601,-1.0
20.0,14.607685700445122,1.19339645234076,-1.0
21.0,-9.00736515095587,11.080993802210923,1.0
22.0,10.884213665824227,-14.189980062458917,1.0
23.0,10.315326725484937,8.402095764521778,1.0
24.0,-0.4696514624617578,9.725473583149608,1.0
25.0,11.66734483960342,-11.061921004539553,1.0
26.0,2.333526946698672,-12.426175208782862,1.0
27.0,-11.906737429404403,-6.3573034846341745,1.0
28.0,6.781152161218293,6.044321051147796,1.0
29.0,-14.805599494132132,1.5066402085183497,1.0
30.0,-14.843437172295264,14.666572174018176,1.0
31.0,1.8962531397873965,13.312093361279976,1.0
32.0,-10.581023571826213,-11.611960596601394,1.0
33.0,-8.760196267086751,12.226394348570784,1.0
34.0,-5.874625246561899,-2.113821609769208,1.0
35.0,5.082742612425378,0.0032414509264229174,1.0
36.0,-8.186046536011947,-5.594931789172596,1.0
37.0,12.094997412777161,11.296482363395587,1.0
38.0,-3.3770933054520134,-10.323542559701334,1.0
39.0,-11.99514581057262,-13.12148263016745,1.0
40.0,-3.264519699141889,-5.604097500592416,1.0
41.0,11.90155392484754,10.09937322189368,-2.0
42.0,3.469298938000983,14.010022421932998,-2.0
